distance_m,signal_mean_pct,rx_link_rate_mean,rtt_mean_ms,jitter_ms,packet_loss_pct,throughput_down_mbps
15,33.46153846,1.0,285.6,485.4444444,0.0,0.104856142
15,31.25,1.0,1132.9,804.5555556,0.0,0.0
5,90.0,144.4,3.888888889,5.625,10.0,75.81922449
1,79.91666667,866.7,1.625,1.428571429,20.0,94.68859009
15,33.25,1.0,330.1,395.2222222,0.0,0.104824056
1,79.91666667,866.7,3.0,2.666666667,0.0,94.67286305
15,25.25,1.0,101.1,107.4444444,0.0,0.104788911
15,31.0,1.0,297.3333333,301.5,10.0,0.104817843
15,34.25,1.0,263.0,355.2222222,0.0,0.0
15,31.25,1.0,351.9,436.1111111,0.0,0.104850764
5,90.0,144.4,1.5,1.111111111,0.0,88.16111948
15,30.5,1.083333333,192.8888889,196.0,10.0,0.0
5,92.0,144.4,2.0,1.444444444,0.0,79.28076608
1,83.33333333,866.7,1.222222222,0.5,10.0,94.57728952
5,87.75,144.4,3.111111111,3.125,10.0,76.42717366
15,21.0,1.0,144.7,148.6666667,0.0,0.0
5,90.0,144.4,3.2,4.0,0.0,93.37416067
1,81.0,866.7,3.8,4.222222222,0.0,94.64788165
15,37.0,1.0,208.4444444,141.25,10.0,0.10473732
1,84.1,866.7,5.2,7.666666667,0.0,94.66401529
1,83.0,866.7,3.9,6.222222222,0.0,94.77506386
1,81.0,866.7,3.2,4.888888889,0.0,94.71666209
15,25.0,1.0,195.6,138.4444444,0.0,0.104720312
5,84.58333333,144.4,8.555555556,10.875,10.0,30.79145254
15,33.0,1.083333333,298.3,360.2222222,0.0,0.104749237
1,85.0,866.7,4.2,6.111111111,0.0,93.9061045
1,84.41666667,866.7,4.4,3.111111111,0.0,93.3348987
1,81.0,866.7,2.5,1.777777778,0.0,94.67115164
5,90.09090909,144.4,6.9,9.555555556,0.0,93.39568754
5,84.83333333,144.4,9.333333333,9.125,10.0,26.70907832
15,21.0,1.0,136.7,122.5555556,0.0,0.0
1,84.0,866.7,1.888888889,1.375,10.0,94.72892929
15,50.75,1.0,656.2,629.0,0.0,0.314435392
15,24.25,1.0,139.3,160.4444444,0.0,0.10483135
1,84.30769231,866.7,1.2,0.444444444,0.0,93.10206606
1,82.0,866.7,1.1,0.222222222,0.0,94.70400066
5,90.0,144.4,2.4,1.666666667,0.0,94.32075588
15,36.25,1.0,780.5555556,995.5,10.0,0.0
1,84.08333333,866.7,1.4,0.888888889,0.0,88.30466528
15,39.5,1.0,426.5,232.3333333,0.0,0.104824056
1,84.69230769,866.7,1.0,0.0,0.0,92.97725344
15,48.75,8.891666667,43.4,87.0,0.0,4.823384967
5,83.66666667,144.4,6.888888889,7.25,10.0,30.48333433
1,79.83333333,866.7,1.222222222,0.5,10.0,94.63016463
1,84.0,866.7,2.4,3.111111111,0.0,94.42758581
5,90.0,144.4,1.2,0.444444444,0.0,77.21574593
15,21.0,1.0,144.1,219.4444444,0.0,0.0
1,81.83333333,866.7,1.222222222,0.5,10.0,93.77762203
5,90.0,144.4,2.4,1.777777778,0.0,86.52055334
15,25.0,1.0,123.9,154.0,0.0,0.104820588
5,85.58333333,144.4,20.8,24.33333333,0.0,28.05902154
5,90.0,144.4,2.1,1.555555556,0.0,77.12691986
5,90.0,144.4,3.4,3.555555556,0.0,90.56599312
5,90.0,144.4,2.0,1.777777778,0.0,92.83050678
5,90.0,144.4,1.2,0.444444444,0.0,87.63204964
15,50.5,1.0,918.5,847.7777778,0.0,0.0
5,89.75,144.4,3.7,5.333333333,0.0,78.73979761
15,23.5,1.0,202.9,217.3333333,0.0,0.0
15,39.0,1.083333333,952.1111111,768.75,0.0,0.104817843
15,36.0,1.0,1387.8,1053.777778,0.0,0.0
15,31.75,1.25,89.6,104.8888889,0.0,0.0
1,80.0,866.7,1.444444444,0.625,10.0,94.30067128
5,85.66666667,144.4,2.4,2.222222222,0.0,75.88896008
15,33.25,1.0,340.1,287.5555556,0.0,0.0
5,84.25,144.4,3.6,3.333333333,0.0,33.21096234
1,84.0,866.7,4.111111111,5.375,10.0,94.34022659
1,84.23076923,866.7,1.1,0.222222222,0.0,93.19480016
15,33.0,1.0,207.9,313.0,0.0,0.0
15,32.0,1.0,449.1,661.5555556,0.0,0.0
1,84.23076923,866.7,1.0,0.0,0.0,92.95918114
1,80.0,866.7,1.555555556,1.125,10.0,93.96842006
15,33.25,1.0,216.6,276.3333333,0.0,0.0
15,33.25,1.0,122.3,139.3333333,0.0,0.0
5,89.0,144.4,4.1,5.0,0.0,83.86231796
15,38.5,1.916666667,1032.25,579.7142857,20.0,0.104811483
1,84.23076923,866.7,1.0,0.0,0.0,93.08156597
5,90.0,144.4,11.8,12.22222222,0.0,92.21425078
5,87.0,144.4,1.5,0.888888889,0.0,81.57471134
15,33.0,1.0,624.5,779.2222222,0.0,0.0
1,85.0,866.7,1.1,0.222222222,0.0,93.21796828
15,24.0,1.0,161.5,143.4444444,0.0,0.0
5,90.0,144.4,1.4,0.444444444,0.0,94.20287734
5,82.83333333,144.4,19.6,26.22222222,0.0,22.72624137
5,90.0,144.4,5.1,7.333333333,0.0,89.38027838
15,35.25,1.0,1577.1,1182.0,0.0,0.104818492
1,84.0,866.7,1.5,1.111111111,0.0,92.97916601
1,84.23076923,866.7,1.9,2.0,0.0,94.58175808
15,34.0,1.0,485.7,464.8888889,0.0,0.104700842
1,79.58333333,866.7,2.2,1.666666667,0.0,94.6743003
5,90.0,144.4,1.9,2.0,0.0,90.41695423
1,80.08333333,866.7,3.2,4.888888889,0.0,94.68573368
15,30.0,1.0,490.7777778,718.625,10.0,0.0
5,89.16666667,144.4,2.666666667,2.75,10.0,32.81384962
15,37.5,1.0,383.1,390.1111111,0.0,0.104727696
5,86.0,144.4,1.2,0.222222222,0.0,80.51673156
15,32.75,1.0,293.7,277.3333333,0.0,0.0
5,84.75,144.4,13.7,21.66666667,0.0,22.53743346
15,29.25,1.0,729.9,1018.0,0.0,0.0
5,89.83333333,144.4,1.6,1.0,0.0,93.31641458
15,24.0,1.0,208.2,301.1111111,0.0,0.0
1,84.0,866.7,1.7,1.222222222,0.0,94.75151267
5,84.25,144.4,1.6,0.777777778,0.0,29.11137445
1,84.0,866.7,1.1,0.222222222,0.0,94.57676016
5,84.41666667,144.4,10.6,20.22222222,0.0,28.80342175
